Season,No. of Episode (Season),No. of Episode (Overall),Title of the Episode,Director,Assistant Director,Written by,Storyboard by,Guest Starring,Featuring,Also Appearing,Musical Numbers,Original Air Date,Product Code,U.S. Viewers (Millions),TV Rating,Running Time (Minutes),Aspect Ratio,Production Companies,IMDb Rating
18,6,335,Peter & Lois' Wedding,Joe Vaux,Mark Covell,Mark Hentemann,"Wincat Alcala, Rob Bou-Saab, Brinson Thieme",Daisy Fuentes,"Peter Griffin, Lois Griffin","Meg, Chris, Stewie, Brian, Joe, Bonnie, Bonnie, Quagmire, Cleveland, Donna Tubbs-Brown, Cleveland Brown, Jr., Roberta Tubbs, Rallo Tubbs, Tom Tucker, Elmer Hartman, Seamus Levine, Ollie Williams, Carter Pewterschmidt, Kimi, Chad, Daria Morgendorffer, Beavis and Butt-Head, David Schwimmer, Paul Reiser, Daisy Fuentes, Billy Zane, Joey Lawrence, Mark McGrath, Pauly Shore, Jamie Kennedy, John Elway, Adam Duritz",None,10-Nov-19,JACX05,2.19,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7
18,7,336,Heart Burn,Steve Robertson,Pablo Solis,Matt Pabian & Matt McElaney,"Won Ki Cho, Francis Dinglasan, Michael Rundle, Ron Smith",None,"Peter as Self and Paris and Romeo and Dan Gallagher, Lois as Self and Helen of Troy and Juliet and Alex Forrest and Beth Gallagher, Chris as Self and ACL and Count Paris Boyardee, Stewie as Achilles and Tybalt and Gallagher son, Brian as King Menelaus and rabbit, Quagmire as Trojan soldier and Friar Lawrence and Dan's friend, Joe as Trojan soldier and Mercutio and Dan's friend, Cleveland as Trojan soldier and Benvolio and Dan's friend, Carter as Capulet","Carl, Tom Tucker, Cleveland Brown, Jr., Rallo Tubbs, Elmer Hartman, Bruce, Storyteller, Opie, Mort Goldman, Neil Goldman, Barbara Pewterschmidt, Seamus Levine, Donna Tubbs-Brown, Roberta Tubbs, Bonnie, Kevin Swanson, Tricia Takanawa, Ollie Williams, Jerome, Bert & Sheila, John Herbert, Principal Shepherd, Sock and Buskin, Batman",None,17-Nov-19,JACX10,1.92,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.7
18,8,337,Shanksgiving,Brian Iles,Ivaylo Angelov,Alex Carter,"Francis Dinglasan, Michael Narren, Ron Smith",None,"Lois, Peter","Chris, Meg, Stewie, Brian, Joe, Bonnie Swanson, Quagmire, Cleveland, Donna Tubbs-Brown, Ida Davis, Carter Pewterschmidt, Barbara Pewterschmidt, Police Superintendent Chalmers, Denise & Wendell, Clint Beltran, J. Tory Hampton, Mad Dog, Fitz Gonzalez, Orlando Gumatay, Carla, Janet, Deena, Sasha, Phil Spector",Kal Penn's Pen Pal Ken in the Cal Pen,24-Nov-19,JACX04,2.28,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.6
18,9,338,Christmas Is Coming,John Holmquist,Rick Del Carmen,Travis Bowe,"Jonathan Gebhart, Bao Nguyen, Steven K.L. Olson",Jimmy Connors,"Meg, Stewie","Lois, Chris, Brian, Peter, Quagmire, Joe, Bonnie, Cleveland, Donna, Rallo Tubbs, Cleveland Brown, Jr., Carter, Babs, Rupert, Principal Shepherd, Holden Caulfield, Seamus, Woody Levine, Santa Claus, Dr. Baby Violin, Nicolás Almagro, Jimmy Connors, Joe Paterno","Jingle Bells Verses No One Knows, A Die Hard Christmas Carol",15-Dec-19,JACX06,2.3,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.8
18,10,339,Connie's Celica,Joseph Lee,Wincat Alcala,Kevin Biggins,"Annemarie Brown, Dante Leandado, Michael Narren",None,"Lois, Connie D'Amico","Chris, Meg, Brian, Stewie, Peter, Joe, Cleveland, Donna, Principal Shepherd, Jerome, Tom Tucker, Doug the jock, Gina, Elmo, Mummy & Daddy Pig, Mr. & Mrs. Mason, Freddie Mercury, Danny McBride, Skee-Lo",None,5-Jan-20,JACX08,1.85,TV-PG,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.6
18,11,340,Short Cuts,Julius Wu,John Banh,Kirker Butler,"Helen Kim, Eric Sanford, Stephen Wong",Christopher Meloni,"Brian, Lois, Peter","Stewie, Meg, Chris, Cleveland, Quagmire, Joe, Tom Tucker, Mort Goldman, Joanna, Jeremy, Shredder/George Townsend, Sensei Dan, Bentley, Tiny Tom Cruise, The cast of Seinfeld, Golden State Warriors, Fairuza Balk, Annette Bening, Warren Beatty",Jewish Party song,16-Feb-20,JACX11,1.65,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.7
18,12,341,Undergrounded,Greg Colton,Young Baek,Mike Desilets,"Francis Dinglasan, Dante Leandado, Ron Smith",None,"Peter, Lois","Chris, Stewie, Meg, Brian, Joe, Quagmire, Cleveland, Donna, Cleveland Brown, Jr., Roberta Tubbs, Rallo Tubbs, Dumb Beaver, Tom Tucker, Chief Diamond Phillips, Charlotte, Kelsey, Gretchen, General Chang, Johnny 5, Sally, Coldplay",None,23-Feb-20,JACX13,1.57,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.7
18,13,342,Rich Old Stewie,Brian Iles,Ivaylo Angelov,Chris Sheridan,"Jonathan Gebhart, Bao Nguyen, Michael Rundle",None,"Stewie Griffin, Peter Griffin","Brian, Lois, Meg, Chris, Cleveland, Quagmire, Carter Pewterschmidt, Seamus, Tom Tucker, Tricia Takanawa, Dr. Hartman's son, Herbert, Scooter, Lane Bergen, President Polar Bear",None,1-Mar-20,JACX12,1.55,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7.2
18,14,343,The Movement,Joe Vaux,Mark Covell,Maggie Mull,"Helen Kim, Steven K.L. Olson, Stephen Wong","Dan Castellaneta, Kevin Nealon",Peter Griffin,"Lois, Meg, Chris, Brian, Stewie, Joe, Cleveland, Quagmire, Bonnie Swanson, Carter Pewterschmidt, Tom Tucker, Tom Tucker, Sr., Jerome, Homer Simpson, Stan Smith, Roger, Francine Smith, Johnny 'Feedback' Robinson, Luke, John Wilkes 'Photo Booth' Griffin, Joe & Troy, Quahog Whooping Scalpers, Frank 'Cardiac Arrest' Ross, Bill 'Doesn't Know CPR' McGillicuddy, Kenneth & Chuck, Abraham Lincoln, Soup Nazi, George and Louise Jefferson, Jason Alexander, Kevin Nealon","Good Morning, USA",8-Mar-20,JACX15,1.45,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.6
18,15,344,Baby Stewie,Jerry Langford,Orlando Gumatay,Artie Johann,"Annemarie Brown, Michael Narren, Eric Sanford",Brett Gelman,"Stewie Griffin, Brian","Peter, Lois, Meg, Chris, Quagmire, Cleveland, Donna, Cleveland Brown, Jr., Roberta Tubbs, Rallo, Joe, Bonnie, Kevin Swanson, Jerome, Rupert, Bozo the Clown, Flat Stanley, James Taylor, Sylvester Stallone, Chris Hemsworth",Graduation (Friends Forever),15-Mar-20,JACX14,1.68,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7.1
18,16,345,Start Me Up,John Holmquist,Rick Del Carmen,Daniel Peck,"Rob Bou-Saab, Michael Rundle, Brinson Thieme",None,"Chris, Stewie, Brian","Peter, Lois, Meg, Bonnie, Seamus Levine, Bruce, Jerome, Mort Goldman, Carl, Tom Tucker, Bert, Principal Shepherd, Consuela, Candy, Oscar, Barbara, Bailiff Clarence, Snack Cart Steve, Boo & Yay Radley, Indiana Jones, Barney Fife, Jesse Eisenberg, Emma Stone, Al Pacino, Robert Duvall, Robert De Niro, Fred Gwynne, Zach Braff, Alex Honnold",None,19-Apr-20,JACX16,1.58,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.4
18,17,346,Coma Guy,Steve Robertson,Steven K.L. Olson,Patrick Meighan,"Won Ki Cho, Francis Dinglasan, Bao Nguyen",None,Peter Griffin,"Lois, Brian, Meg, Stewie, Chris, Joe, Bonnie, Quagmire, Cleveland, Donna, Judge Dignified Q. Blackman, Ernie the Giant Chicken, Elmer Hartman, Dr. Gravitas, Joanna, Kool-Aid Man, Reginald, Diane Simmons, Vern and Johnny, Mayor Adam West, Jonathan Weed, Angela, Thelma Griffin, Francis Griffin, Horace, Stephanie, Loretta Brown, Muriel Goldman, Big Fat Paulie, Charles Yamamoto, Dr. Cecil Pritchfield, Jeremy, Mrs. Lapardo, Mrs. Wilson, Nancy the Postal Lady, Pearl Burton, Cassandra, Hammer, Paddy Tanniger, Joan Quagmire, Franz Gutentag, Doris Billingsly, Ross Fishman, Michael Pulaski, Brenda Quagmire, Fire Captain Beckman, Jess Schlotz, Derek Wilcox, Prince Faisal, Vanessa Griffin, Nigel Pinchley, Ms. Hobson, Homer Simpson, Madonna, Joaquin Phoenix, Woodrow Wilson, Timothy Olyphant",Painting the Walls,26-Apr-20,JACX07,1.54,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",7
18,18,347,Better Off Meg,Anthony Agrusa,"Helen Kim, Orlando Gumatay",Emily Towers,"Mia Hyemin Kim, Dante Leandado, Eric Sanford, Ron Smith",None,Meg Griffin,"Peter, Lois, Chris, Stewie, Brian, Joe, Bonnie, Bruce, Principal Shepherd, Tom Tucker, Mayor Adam West, Kool-Aid Man, Kent & Bradley, John Mayer, French Stewart","Theme from ""Meg""",3-May-20,JACX17,1.39,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.7
18,19,348,Holly Bibble,Julius Wu,John Banh,Cherry Chevapravatdumrong,"Rob Bou-Saab, Annemarie Brown, Michael Rundle",Edie McClurg,"Peter Griffin as Self and Adam and Noah and Jesus, Lois Griffin as Self and Eve and Noah's wife and Mary Magdalene, Quagmire as Serpent and apostle, Meg as Self and Noah's children and photographer, Chris as Self and Noah's children, Stewie as Self and centurion, Brian as Self and Judas Iscariot, Cleveland as Self (voice) and Noah's neighbor and apostle, Tom Tucker as Self and apostle","Joe, Seamus, Herbert, Ernie the Giant Chicken, Bruce, Elmer Hartman, Opie, Principal Shepherd, Carter Pewterschmidt, Mort Goldman, Ed Christ, God, Christian Bale, Edie McClurg",None,10-May-20,JACX01,1.29,TV-14,21,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.6
18,20,349,Movin' In (Principal Shepherd's Song),Joseph Lee,Wincat Alcala,Danny Smith,"Jonathan Gebhart, Michael Narren, Stephen Wong",None,Principal Shepherd,"Chris, Stewie, Brian, Peter, Lois, Meg, Joe Swanson, Doug, Elmer Hartman, Christopher Walken",None,17-May-20,JACX18,1.51,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions",6.7
19,1,350,Stewie's First Word,Mike Kim,Max Martinez,Patrick Meighan,"Francis Dinglasan, Dante Leandado, Brinson Thieme",None,"Stewie Griffin, Lois Griffin","Peter, Meg, Chris, Brian, Joe, Bonnie, Quagmire, Cleveland, Donna, Cleveland Brown, Jr., Susie Swanson, Principal Shepherd, Roger, Trey Headband, Henry Spencer, Buzz McCallister, Caillou, Caillou's Dad, Kim Kardashian",None,27-Sep-20,JACX19,1.86,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",6.7
19,2,351,The Talented Mr. Stewie,Greg Colton,Young Baek,Gary Janetti,"Bao Nguyen, Eric Sanford, Ron Smith",None,Stewie Griffin,"Peter, Lois, Meg, Chris, Brian, Rupert, Bruce, Dr. Hartman, Peaches & Cream, Anton, Rupert the Giraffe, Annabelle, Deepak Chopra Winfrey, Susie Myerson, The cast of The Marvelous Mrs. Maisel, Michelle Obama",None,4-Oct-20,JACX20,1.36,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",6.3
19,3,352,Boys & Squirrels,Joe Vaux,Mark Covell,Steve Callaghan,"Jonathan Gebhart, Michael Rundle, Ron Smith",None,"Peter, Chris, Stewie","Lois, Meg, Brian, Quagmire, Joe, Cleveland, Elmer Hartman, Bruce, Consuela, Rupert, Herbert, Groot, Rocky, Tommy Lee Jones, Dennis Quaid, Willem Dafoe",None,11-Oct-20,KACX02,1.48,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",5.8
19,4,353,Cutawayland,Brian Iles,Ivaylo Angelov,Patrick Meighan,"Francis Dinglasan, Michael Narren, Stephen Wong",None,"Peter, Lois","Meg, Chris, Stewie, Brian, Joe, Principal Shepherd, Pac-Man, Wreck-It Ralph, Glenn Frey, Tom Brady, Charlton Heston, Robert Loggia, Robert Kraft","You Have AIDS, Joe Is on a Vacation","November 1, 2020[g]",KACX01,1.83,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",6.3
19,5,354,La Famiglia Guy,John Holmquist,Rick Del Carmen,Alex Carter,"Annemarie Brown, Helen Kim, Eric Sanford",Rick Dees,Peter,"Lois, Chris, Meg, Stewie, Brian, Quagmire, Joe, Bonnie, Susie Swanson, Kevin, Cleveland, Bruce, Doug, Mort Goldman, Al Harrington, God, Vincenzo, Tammy, Rick Blaine, Donald Duck, Donkey Kong, Don Amnesia, Don De-Don-Don, Don-Don-Don, Don Omatopoeia, The Land Don Under, Don Imus",None,8-Nov-20,KACX03,1.52,TV-PG,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",6.9
19,6,355,Meg's Wedding,Steve Robertson,Steven K.L. Olson,Mike Desilets,"Won Ki Cho, Mia Hyemin Kim, Bao Nguyen",None,Meg Griffin,"Lois, Peter, Stewie, Brian, Chris, Quagmire, Cleveland, Donna, Joe, Bonnie, Carter, Babs, Dr. Hartman, Esther, Ruth, Patty, Bruce, Jeffrey, Kool-Aid Man, The Great Sebastian, Susan Davis, Phil & Candy Straight, Shropnik Family, Nick ""Goose"" Bradshaw, Pat Sajak",None,15-Nov-20,KACX05,1.79,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",6.5
19,7,356,Wild Wild West,Jerry Langford,Orlando Gumatay,Kirker Butler,"Rob Bou-Saab, Dante Leandado, Brinson Thieme",Sam Elliott,"Peter Griffin, Wild West","Lois, Meg, Chris, Stewie, Brian, Quagmire, Joe, Bonnie, Cleveland, Donna, Principal Shepherd, Elle Hitler, Bruce, Ida Davis, Jerome, Mort Goldman, Tom Tucker. Dumb Beaver, Eddie the Live Studio Ostrich, Adrien Beaky, 'Til Death, Fluffy, Evil Monkey, Billy Finn, Bat Damon, Allison Janney, Jumpy, Bernie the Hamster, Bingo the Dingo, Edgar, Raj, Sheldon, Jimmy, Harold, Principessa, S&M cow, Xerxes, Cinnamon, Steven, Ernie the Giant Chicken, Morgan Freeman",Blue Shadows On The Trail,22-Nov-20,KACX08,1.68,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",7
19,8,357,Pawtucket Pat,Julius Wu,John Banh,Alex Carter,"Francis Dinglasan, Paul Nam, Michael Rundle, Ron Smith",Lou Diamond Phillips,Brian,"Peter, Lois, Meg, Chris, Stewie, Joe, Cleveland, Quagmire, Rupert, Holden Caulfield, Tom Tucker, Jerome, Pawtucket Pat, Oscar the Grouch, Horton, The Who, Richard Kiel, Catherine the Great, Roger Williams, Kid Rock, Adult Rock, Al Pacino, Robert Woodward",None,6-Dec-20,KACX07,1.43,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",5.9
19,9,358,The First No L,Joseph Lee,Wincat Alcala,Damien Fahey,"Jonathan Gebhart, Michael Narren, Stephen Wong",None,Lois Griffin,"Peter, Meg, Chris, Stewie, Brian, Quagmire, Mort, Stella, Greased-up Deaf Guy, Tom Tucker, Dr. Hartman, Emilio, Matt Lauer, Hoda Kotb, Savannah Guthrie, Charlie Rose, Gayle King, Norah O'Donnell, Tony Bennett, Willie Nelson, Tig Notaro, Tim Allen, Dan Aykroyd, Cheech Marin, Lyndon Smith, Jamie Lee Curtis",None,13-Dec-20,KACX06,1.84,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",7
19,10,359,Fecal Matters,Mike Kim & Dominic Bianchi,Max Martinez,Artie Johann,"Rob Bou-Saab, Steven K.L. Olson, Brinson Thieme",None,Peter Griffin,"Brian, Lois, Meg, Chris, Stewie, Quagmire, Tom Tucker, Mrs. Tucker, Ernie the Giant Chicken, Nicole, Elmer Hartman, Sadie, John Candy",None,17-Jan-21,JACX09,3.22,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",7.3
19,11,360,Boy's Best Friend,Mike Kim,Max Martinez,Steve Callaghan,"Helen Kim, Mia Hyemin Kim, Eric Sanford",None,Brian,"Stewie, Meg, Chris, Lois, Peter, Joe, Quagmire, Cleveland, Herbert, Holly & Kyle, Cliff, Oscar the Grouch",None,"February 21, 2021[h]",KACX09,1.31,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",6.8
19,12,361,And Then There's Fraud,Brian Iles,Ivaylo Angelov,Kevin Biggins,"Annemarie Brown, Francis Dinglasan, Michael Narren",Patrick Stump,"Peter, Chris","Stewie, Meg, Lois, Brian, Quagmire, Joe, Cleveland, Elmer Hartman, Tyler, Holden, Xander Bogaerts, James P. Sullivan, Sully Sullenberger, Kenny Rogers, The Hudson Brothers, Ted Zeigler, Billy Van, Peter Cullen, Murray Langston, Freeman King, Avril Chown, The Bear, Rod Hull and Emu, Tommy Tutone",None,28-Feb-21,KACX10,1.45,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",6.1
19,13,362,Peterminator,Joe Vaux,Mark Covell,Mark Hentemann,"Rob Bou-Saab, Jonathan Gebhart, Bao Trinh, Stephen Wong",None,"Stewie, Brian","Peter, Lois, Meg, Chris, Joe, Cleveland, Quagmire, Ernie the Giant Chicken, John Herbert, Stewie I'Like, Mario Lopez, Tilda Swinton, Terminator Peter, Terminator Brian, Terminator Stewie, Terminator Lois, Terminator Tom Tucker, Terminator Consuela, Terminator Cleveland, Terminator Dr. Hartman, Terminator Eddie the Live Studio Ostrich, Terminator Seamus",None,7-Mar-21,KACX12,1.15,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",7.9
19,14,363,The Marrying Kind,Greg Colton,Young Baek,Travis Bowe,"Dante Leandado, Ron Smith, Brinson Thieme",None,Stewie Griffin,"Brian, Peter, Lois, Meg, Chris, Joe, Bonnie, Quagmire, Cleveland, Donna, Jesus, Consuela, Dr. Hartman, Tom Tucker, Joyce Kinney, Tricia Takanawa, Ollie Williams, Opie, Herbert, Bruce, Ida Davis, Seamus, Principal Shepherd, Al Harrington, Bert & Sheila, Carl, Elle Hitler, Wild West, Mort Goldman, Neil Goldman, Jerome, Doug, Mr. & Mrs. Goldman, Rachel, Aaron & Shauna, Levi, Zlata, Helen Keller",The Muppet Show theme,14-Mar-21,KACX11,1.35,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",6.7
19,15,364,Customer of the Week,John Holmquist,Rick Del Carmen,Artie Johann,"Mia Hyemin Kim, Michael Rundle, Eric Sanford",None,Lois Griffin,"Peter, Meg, Chris, Stewie, Brian, Quagmire, Joe, Ida, God, Carter, Dr. Hartman, Seamus, Jasper, Tom Tucker, Chip, Kool-Aid Man, Lester, Terri Newcustomer, Gil, Kyle, Lisa, Kyle H., Gregor ""The Mountain"" Clegane, Mr. Peanut",None,28-Mar-21,KACX13,1.26,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",7.3
19,16,365,Who's Brian Now?,Steve Robertson,Steven K.L. Olson,Maggie Mull,"Rob Bou-Saab, Won Ki Cho, Stephen Wong",None,"Brian, Peter","Chris, Lois, Stewie, Meg, Joe, Jan, The Hendersons, Sugar Ray, Robert Loggia, Patrick Swayze",None,11-Apr-21,KACX14,1.35,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",6.7
19,17,366,Young Parent Trap,Jerry Langford,Orlando Gumatay,Emily Towers,"Annemarie Brown, Francis Dinglasan, Bao Trinh",Richard Marx,"Peter, Lois","Stewie, Meg, Chris, Brian, Cleveland, Neil Goldman, Rupert, Doug, Isaac, Cobain, Beverly, Matt & Kate, Miss Laura, Richard Marx",None,18-Apr-21,KACX15,1.21,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",7.2
19,18,367,Meg Goes to College,Joseph Lee,Wincat Alcala,Mike Desilets,"Jonathan Gebhart, Michael Narren, Brinson Thieme",None,"Meg Griffin, Peter Griffin","Brian, Lois, Stewie, Chris, Cleveland, Joe, Quagmire, Jerome, Principal Shepherd, Doug, Zander, Buck, Selina, Lilly, Grace, Dean Nearby, Dean Distantfaraway, Bill Cosby",Mailtime,2-May-21,KACX16,1.14,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",6.7
19,19,368,Family Cat,Julius Wu,John Banh,Artie Johann,"Dante Leandado, Michael Rundle, Ron Smith",Tracie Thoms,"Brian, Pouncy","Peter, Lois, Meg, Chris, Stewie, Quagmire, Joe, Cleveland, Elle Hitler, Principal Shepherd, Jorah Mormont, Daenerys Targaryen, Jaroslav Flegr",None,9-May-21,KACX17,1.34,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",7.1
19,20,369,Tales of Former Sports Glory,Joe Vaux & Peter Shin,Mark Covell,Mark Hentemann,"Rob Bou-Saab, Annemarie Brown, Bao Trinh",None,"Peter Griffin, Cleveland Brown, Glenn Quagmire, Jerome, Tom Tucker","Lois, Joe, LeVar Brown, Swedish Chef, Animal, Head Bansen, Tatum O'Seventies, Quagmire's Tennis Family, Marvelous Marvin Mrs. Maisel, Bull, Butterbean, I Can't Believe It's Not Butterbean, Sugar Ray Leonard Nimoy, Lennox Lewis and the News, Evander Sally Field, Roberto Duran Duran, George Three Men and a Baby, Delayheehoo, Fidel Castro, Che Guevara, Tom Cochrane, Freddie Mercury, Wayans Brothers, Steven Wright",Babaloo,16-May-21,KACX04,1.16,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television",6.3
20,1,370,LASIK Instinct,Steve Robertson,Steven K.L. Olson,Kirker Butler,"Hannah Kim, Mia Hyemin Kim, Michael Narren, Bao Nguyen",None,Lois Griffin,"Peter, Chris, Stewie, Brian, Meg, Doug, Cleveland, Dr. Hartman, Herbert, Janet, Helen Disingenuous, Wanda Keptmymaidenname, Thom Yorke, Sean Hannity, Robert Redford, Reese Witherspoon",None,26-Sep-21,LACX02,1.56,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television Animation",6.4
20,2,371,Rock Hard,Greg Colton,Young Baek,Matt McElaney,"Dante Leandado, Eric Sanford, Brinson Thieme",None,"Peter, Joe, Quagmire, Cleveland","Lois, Chris, Brian, Stewie, Dr. Hartman, Jerome, Kool-Aid Man, Mort Goldman, Yoko Oh Yes, Muddy Drawers, Charles Manson, Elton John, Sean Hannity","This Song Has One Line, Surfin' Bird",3-Oct-21,KACX20,1.28,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television Animation",6.1
20,3,372,Must Love Dogs,Mike Kim,Max Martinez,Daniel Peck,"Helen Kim, Mia Hyemin Kim, Stephen Wong",None,"Brian, Quagmire","Peter, Lois, Chris, Stewie, Meg, Wild West, Rupert, Cleveland, Donna, Joe, Bonnie, Ida, Seamus, Carrie, Mr. Feldman, Dexter, Backsie, Arid",None,10-Oct-21,KACX18,1.67,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television Animation",6.9
20,4,373,80's Guy,John Holmquist,Rick Del Carmen,Patrick Meighan,"Jonathan Gebhart, Helen Kim, Patrick McCarthy, Ron Smith",Kenny Loggins,Peter,"Lois, Meg, Chris, Brian, Stewie, Joe, Doug, Miss Tammy, Clark Kent, Lois Lane, Heather Wold, Moana, Kenny Loggins, Nathan Hale, Bruce Lee, John Hughes, Chris Pine, Paul Giamatti, Chris Hemsworth",None,17-Oct-21,LACX01,1.37,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television Animation",6.7
20,5,374,Brief Encounter,Brian Iles,Ivaylo Angelov,Travis Bowe,"Francis Dinglasan, Jonathan Gebhart, Michael Narren, Michael Rundle",Patton Oswalt,"Peter, Quagmire","Lois, Meg, Chris, Brian, Stewie, Doug, Joe, Bonnie, Cleveland, Ida, Rupert, Tom Tucker, Seamus, Tyler, Chi Chi, Miss Tiggywinkles",None,24-Oct-21,KACX19,1.38,TV-14,22,16:9 HD,"20th Century Fox Television, Fuzzy Door Productions, 20th Television Animation",6.5
